id,mentor_name,job_title,description
64,Raditya Dika,Penulis,"Raditya adalah definisi dari seorang kreator - mulai dari buku, stand-up comedy, film layar besar, konten YouTube - Raditya telah melakukan semuanya. Melalui karya buku yang dibuatnya ketika berumur 21 tahun, Kambing Jantan: Sebuah Catatan Harian Pelajar Bodoh, Raditya berhasil memikat hati para pembaca di Indonesia dengan isi cerita yang unik dan style pembawaan yang sangat natural. Sejak saat itu, nama Raditya Dika kental diasosiasikan dengan elemen kreatif. "
137,Dee Lestari,Penulis,"Dewi Lestari atau biasa dikeisl dengkebanyakan karya bukunya bergenre fiksi ilmiahyang kebanyakan karya bukunya bergenre fiksi ilmiah. Dee mulai dikenal sejak tahun 2001 mekuka menerbitkan novel berjudul Supernove yang kemudian diangkat menjadi film. Tidak hanya Supernova, novel yang ditulis oleh Dee juga tidak sedikit yang diangkat menjadi film."
90,Butet Kertaredjasa,Seniman,"Seorang seniman dan aktor kondang dari Indonesia, Butet memiliki segudang pengalaman dalam industri kreatif Indonesia - dengan lebih dari 10 title film dimana beliau memiliki sebuah peran, dan rekam jejak pentas monolog yang impresif dari tahun 1986 hingga 2010."
82,Didik Ninik Thowok,Seniman,"Hampir 50 tahun Didik telah menggeluti bidang menari hingga saat ini. Didik menyerap beragam budaya dan tarian dengan berguru pada maestro tari Bali, I Gusti Gde Raka; tari klasik sunda dari Endo Suanda; hingga tari Flamenco ala Spanyol. Didik tidak hanya menarik perhatian dari orang dalam negeri, seorang peneliti Jepang bahkan membuatkannya buku biografi yang telah diterjemahkan ke dalam beberapa bahasa."
143,Martha  Suherman,Fotografer,"Martha Suherman adalah seorang fotografer profesional yang fokus terhadap fotografi di bidang  korporat dan komersial. Mengawali karir sebagai Graphic Designer di tahun 2000, Martha memutuskan untuk berubah haluan menjadi fotografer di tahun 2007. Sejak saat itu, Martha telah bekerjasama dengan berbagai korporat ternama di Indonesia, dan juga telah mengisi berbagai macam acara serta majalah dengan karya-karyanya yang diciptakan melalui kamera."
33,Jonathan Sudharta,CEO Halodoc,"Seorang pionir di bidang HealthTech di Indonesia, Jonathan membangun Halodoc dari nol hingga saat ini dimana mereka telah memudahkan akses kesehatan untuk 18 juta orang Indonesia melalui teknologi."
35,Arnold Poernomo,Restaurateur,"Salah satu tokoh yang paling berpengaruh di industri F&B Indonesia, Chef Arnold memiliki segudang pengalaman di dunia makanan dan minuman; dari menjadi seorang juri di MasterChef Indonesia, hingga menciptakan restoran di Indonesia dan Australia."
183,Steven Wang,CEO Dropzilla,Steven merupakan seorang digital creator di Instagram maupun TikTok. Steven mulai membuat konten di Instagram sejak 2015 dan TikTok sejak awal 2020. Konten di Instagram berawal dari share #foodmemo dan TikTok yang berisi tips & “tau gak sih?”
38,Michella Ham,CEO Skin Game,"Berbekal IDR 5juta, Michella menciptakan Skin Game pada tahun 2018, mengembangkannya menjadi merek perawatan kulit  terkemuka di Indonesia dengan pengikut setia untuk produk-produknya."
139,Petra Barus,CTO of Kuncie,"Seseorang yang sangat kental dengan dunia teknologi, Petra Barus memiliki rekam jejak yang spektakuler. Salah satu terobosan awalnya adalah peran Petra dalam membangun UrbanIndo.com, startup platform real estate online terbesar di Indonesia, sebagai Chief Technology Officer. UrbanIndo.com pun akhirnya diakuisisi oleh 99.co. Petra lalu melebarkan sayapnya ketika bergabung dengan Amazon Web Services Indonesia sebagai Developer Relations di tahun 2019.  Di tahun 2021, Petra bergabung dengan Kuncie sebagai Chief Technology Officernya, peran yang dipegang hingga saat ini."
140,Andry Susanto,Chef Oma Elly,"Diawali dengan posting di Instagram tentang proses memasak yang ditekuni Chef Andry, respon teman-teman terdekat pun sangat hangat, hingga ada seorang teman yang ingin merayakan ulang tahunnya di dapurnya. Melalui pengalaman unik nan apik tersebut, word of mouth pun mulai menyebar tentang dining experience yang didapatkan. Tidak kaget, dengan perpaduan rasa makanan yang begitu lezat serta ambience tempat yang sangat homey, Oma Elly menjadi salah satu nama terdepan ketika penduduk Jakarta sedang merundingkan fine dining experience."
3,Hendra Hilman,Business Coach,Seorang business coach ternama dengan track record kesuksesan yang sangat baik. Coach Hendra telah membimbing dan mendidik lebih dari 100 direct business owner di Indonesia dan dalam kancah internasional
133,Bagus Widnyana,Content Creator,"Seorang content creator yang sangat terkenal baik di platform TikTok atau Instagram, Bagus memiliki segudang pengalaman dalam proses pembuatan konten. Bagus mengasah skillnya melalui kerjasama dengan berbagai brand ternama di Indonesia, seperti Traveloka, Nestle, Lemonilo, hingga Bibit.
"
26,Eunike Selomith,Founder dr soap,"Seorang pengusaha yang membangun dr soap, pelopor produsen & penjual produk hygiene premium di Indonesia. Eunike juga memiliki passion dalam pemberdayaan wanita, dimana ia sering berbagi pengalaman melalui berbagai macam platform online."
28,Sibarani Sofian,"Founder, Urban+","Seorang urban designer yang handal dengan pengalaman profesional lebih dari 20 tahun bekerja di seluruh Asia, dengan rekam jejak yang luar biasa dalam membangun organisasi yang hebat dengan budaya kerja tim yang menginspirasi."
87,Nicko Widjaja,CEO BRI Ventures,"Sempat diragukan oleh banyak pihak saat ditunjuk menjadi pimpinan MDI Ventures, Nicko menunjukkan prestasinya dengan melakukan IPO untuk dua perusahaan dimana MDI Venture berinvestasi. Nicko dikenal sebagai pionir dalam bidang investasi teknologi di Indonesia"
127,Rizky Arief Dwi Prakoso,CEO HMNS Perfume,"Seorang entrepreneur dari usia yang relatif sangat muda, Rizky Arief memiliki track record  yang sangat mengesankan. Diawali dengan menjadi CEO di NAH Project, yang terkenal sebagai salah satu brand sepatu favorit dari Presiden Republik Indonesia, Joko Widodo. Berlanjut dari kesuksesannya di NAH Project, Rizky menciptakan brand perfumery bernama HMNS, yang berhasil menuai berbagai penghargaan atas kualitas produk yang mumpuni, menjadi salah satu brand perfume ternama di Indonesia, bersaing dengan brand-brand besar internasional di pasar domestik. "
32,Raharja Putra,Copywriting Guru,Seorang copywriter & content creator dengan pengalaman lebih dari 5 tahun di berbagai perusahaan. Aktif berbagi ilmu copywriting dan bahasa Indonesia melalui akun instagram @rahardjapoetra.
53,Fiona Anthony,Founder Bakepack,"Sebelum mendirikan Bakepack, Fiona memiliki pengalaman yang cukup panjang menjadi pramugari salah satu maskapai internasional. Pengalaman tersebut membuatnya memiliki concern yang tinggi pada customer service di bisnisnya yang sekarang."
136,Bimo Kusumo,Voiceover Talent,"Bimo Kusuma adalah seorang Voice Over Talent yang sudah memulai karirnya sejak kecil. Sejak kecil Bimo sudah mengisi voice over komersil dan juga non-komersil, selain itu Bimo juga memulai karirnya sebagai penyiar di beberapa stasiun radio seperti Mustang 88.0 FM, Indika FM 91.60 FM, dan Power FM 89.20 FM. Keahlian tersebut dibawa Bimo ke dalam akun TikTok miliknya dan mendapatkan 2,9 juta likes dengan 345,4 ribu pengikut."
95,Michelle Sulistyo,CMO at Kulo Group,"Seseorang yang memang suka kopi sebelum membangun bisnis pertamanya, Kedai Kopi Kulo, Michelle telah berhasil melebarkan sayapnya untuk merangkul tidak hanya industri minuman kopi, tapi hingga all you can eat, sambal, hingga minuman boba! Tidak bisa diragukan lagi, Michelle dan KULO Group dapat memikat hati pelanggan dengan brand-brand inovatif yang diciptakan!"
55,Devy Natalia,Co-Owner BohoBaby,"Devy mendirikan Bohobaby pada 2017, diawali dengan keresahannya yang merasa sulit untuk mendapatkan pakaian bayi yang diinginkannya. Kemudian dia mengontak temannya, Irene, untuk mendirikan sebuah bisnis yang menjual baju untuk bayi dan anak. Saat ini Bohobaby telah melakukan penjualan hingga Eropa dan Amerika Serikat."
61,Aries Lukman,Founder iPhonesia,"Disamping pekerjaan sehari-harinya sebagai seorang Factory Manager sebuah perusahaan manufaktur, Aries memiliki sebuah hobi yang dikembangkannya sejak lama. Hobi tersebut adalah mobilephotography. Hobi ini yang membuatnya mendirikan iPhonesia yang kini merupakan komunitas mobilephotography terbesar di Indonesia."
131,Aghnia Punjabi,Owner Sylmi Basic,"Seorang Key Opinion Leader dengan keahlian di bidang kecantikan dan make-up, Aghnia juga memiliki jiwa kewirausahaan yang kuatt - ditunjukkan dengan bisnis-bisnisnya di bidang F&B dan Fashion. Dengan pengalaman tersebut, Aghnia dapat dengan jelas mengidentifikasi kebutuhan dan kecocokan sebuah brand dengan target pasar yang diincar, hingga waktu yang tepat untuk rebranding sebuah bisnis."
141,Angelina Prisilla,Owner Wijaya Betta,"Menggemari dunia ikan cupang semenjak duduk di bangku SMA, Angelina tidak membiarkan stigma bahwa industri ini jarang didalami seorang wanita menjadi penghalang. Melalui proses yang panjang dan tingkat dedikasi yang tinggi, Prisilla berhasil membangun brand Wijaya Betta sebagai salah satu penjual ikan cupang serta tempat lelang ikan cupang terkemuka di Indonesia. Tak hanya itu, Prisilla juga mengasah taringnya di kontes ikan cupang skala nasional hingga internasional, dengan berbagai penghargaan yang diraih."
66,Shopee  ,Platform eCommerce,"Shopee adalah platform e-commerce terkemuka di Asia Tenggara dan Taiwan. Diluncurkan di tahun 2015, Shopee adalah platform yang disesuaikan untuk wilayah Asia Tenggara, memberikan para pelanggan pengalaman belanja online yang mudah, aman dan cepat melalui dukungan pembayaran dan fulfillment yang kuat. Shopee percaya bahwa aktifitas berbelanja online harus dapat diakses secara mudah dan menyenangkan."
92,Bukalapak  ,eCommerce Platform,"Bukalapak merupakan salah satu perusahaan e-commerce di Indonesia yang berdiri pada tahun 2010, Bukalapak awalnya merupakan toko daring yang memungkinkan para pelaku Usaha Kecil dan Menengah (UKM) untuk merambah ke dunia maya. Perusahaan tersebut kini telah melakukan ekspansi ke berbagai lini bisnis lain, termasuk membantu meningkatkan penjualan para warung tradisional lewat layanan Mitra Bukalapak."
129,Dinda Puspitasari,Fashion Illustrator,"Sebagai seseorang yang menggemari proses kreatif visual seperti menggambar sejak masa dini, Dinda selalu mengharapkan untuk dapat mengubah aktifitas tersebut sebagai sumber pemasukan. Mengawali karirnya di sebuah pekerjaan non-kreatif, Dinda mulai mencoba untuk menyeriuskan keahlian tersebut, dan berhasil untuk mendapatkan berbagai klien nama besar dalam portofolio jasanya. Kini, Dinda adalah seorang fashion ilustrator ternama di Indonesia, dengan puluhan ribu penggemar di media sosialnya"
34,Cempaka Asriani,Founder SARE Studio,"Berpengalaman di bidang fashion journalism, Cempaka yang memiliki jiwa kewirausahaan kuat, saat ini memiliki beberapa lini bisnis terutama di bidang Fashion dan B&B."
148,Jessica Lin,Co-founder Everwhite,"Berawal dari kesulitannya dalam mencari produk skincare yang cocok untuk kulitnya, Jessica memutuskan untuk memulai bisnis skincare di usia mudanya saat skincare brand lokal masih belum banyak peminatnya. Produk skincarenya, Everwhite, berhasil menggaet dan dipercaya oleh banyak pelanggan dan juga memajukan industri beauty di Indonesia. Dengan meningkatnya persaingan, Jessica pun memutuskan untuk menggandeng Kim Seon Ho sebagai brand ambassador dari Everwhite. Kini Everwhite sudah merambah kancah internasional dan dirinya masuk dalam jajaran Forbes 30 Under 30 di tahun 2021. "
78,Alam Akbar,Founder & CEO Kasual,"Alam memiliki pengalaman yang cukup panjang dalam industri fashion. Selepas lulus dari Universitas Indonesia, dia mendirikan Premium Shop, sebuah all-in-one e-commerce platform yang menghasilkan pendapatan tahunan mencapai satu milyar rupiah pada tahun kedua. Setelah sukses dengan Premium Shop, dia mendirikan Kasual yang memiliki fokus pada fitur kustom produk fashion."
119,Melvin Mumpuni,"Founder, Finansialku","Melvin memiliki latar belakang pendidikan yang cukup beragam. Dia mendapatkan gelar sarjana teknik sipil dan melanjutkan untuk mengambil MBA di bidang keuangan. Pada masa pengerjaan tesis, Melvin menemukan sebuah masalah yang membuatnya berniat untuk mendirikan Finansialku.com."
118,Alditsa  Decca,Owner SundaySundayCo,"Diawali dengan perasaan bahwa pakaian yang sering dipakai Alditsa ketika menampilkan keahliannya di atas panggung bersama dengan Pee Wee Gaskins kurang cocok dengan style yang dia sukai, ada keingingnan untuk menciptakan brand pakaian sendiri. Dari keinginan ini, dan modal yang cukup minim sejumlah 5 juta rupiah, Alditsa memulai SundaySundayCo, brand yang mengedepankan konsep chill dan santai berdasarkan logo es krim serta hari Minggu yang sering dianggap sebagai hari tersantai dalam seminggu. Konsep unik ini telah sering kita lihat dalam berbagai kolaborasi apik dengan brand-brand lokal lainnya, di antara produk-produk SundaySundayCo sendiri yang berhasil menarik perhatian massa dari tahun 2010 hingga kini"
130,Andanu Prasetyo,Owner Toko Kopi Tuku,"Seorang pebisnis yang sudah memiliki bisnis kuliner sebelum Toko Kopi Tuku, Andanu Prasetyo atau Tio ingin menciptakan sebuah bisnis kopi yang enak dan terjangkau oleh khalayak luas. Diawali dengan riset intensif selama 1 tahun di Bali, Jogja, hingga Australia, Tio menemukan hal-hal yang menggambarkan kondumen Indonesia dan menggunakan itu sebagai landasan bisnisnya. Kini, Toko Kopi Tuku sering dikenal sebagai pelopor tren Es Kopi Susu, spesifiknya di Jakarta, dan telah memiliki lebih dari 5 cabang fisik."
71,Andhyka Darwin,Co-Founder Roti Nogat,"Meskipun memiliki latar belakang IT, Andhyka memiliki beragam pengalaman di dunia bisnis F&B selama lebih dari sepuluh tahun. Selain mendirikan Roti Nogat yang membawa tren roti nogat di tahun 2015, dirinya juga orang di balik Gudang Rottie dan Oleander Kitchen Bakery."
54,Uma Hapsari,Founder & CEO AMAZARA,"Semasa kuliah di Australia, Uma memiliki beragam pengalaman unik di dunia fashion seperti menjadi Sales untuk Nine West Group dan kolumnis di Grapeshot Magazine. Hal ini yang mempengaruhi cara pandangnya terhadap dunia bisnis fashion saat mendirikan AMAZARA."
149,Rex Marindo,Founder & CEO Foodizz,"Rex Marindo adalah seorang founder grup bisnis Citarasaprima (CRP Group) yang mengelola 3 brand FnB yakni Nasi Goreng Mafia, Bakso Boedjangan, dan Warunk Upnormal. Selain membangun bisnis kuliner, Rex juga merupakan seorang CEO dari Foodizz, platform edukasi bisnis FnB pertama di Indonesia. Rex adalah figur edukator bisnis kuliner yang membantu para entrepreneur di Indonesia agar sukses dalam mengembangkan bisnis kulinernya."
138,Andy Sukma Lubis,Founder Melukis Slide,"Seseorang yang awalnya bekerja sebagai seorang auditor, dengan latas belakang pendidikan di bidang akuntansi dan manaejemen finansial, Andy Sukma Lubis rasanya jauh sekali dari dunia desain. Namun, di tahun 2012, Andy mulai jatuh cinta dengan aplikasi desain dan ingin mendalami bidang tersebut. Tidak membiarkank latar belakangnya sebagai penghalang, di tahun 2015, Andy menciptakan Melukis Slide, sebuah platform yang memberikan workshop dan kelas tentang cara menaikkan level presentasi dari segi visual dan penyampaian informasi. Hingga kini, Melulkis Slide telah memberikan lebih dari 45 workshop ke lembaga-lembaga ternama di Indonesia. "
31,Gufron Syarif,CEO & Co-founder HAUS!,"Pengusaha berpengalaman dan CEO HAUS!, sebuah start-up F&B berbasis minuman dan makanan kekinian dengan harga terjangkau."
122,Christian Sugiono,"CEO & Founder, Cumi.ID","Christian Sugiono adalah seorang aktor dan model dari Indonesia yang mulai dikenal oleh warga Indonesia di tahun 2005 ketika membintangi film Catatan Akhir Sekolah. Setelah peran tersebut, Christian membintangi banyak film lainnya, hingga ada yang ditayangkan di layar kaca internasional. Tak hanya itu, Christian juga telah menjadi brand ambassador bisnis ternama seperty Gatsby dan Hewlett Packard (HP)."
125,Dayu Dara Permata,"CEO & Founder, Pinhome","Seorang visioner yang mengawali karirnya sebagai seorang konsultan handal, Dayu lalu mendapatkan kesempatan untuk bekerja dengan salah satu platform ride-hailing terbesar di Indonesia. Di perusahaan tersebut, Dayu membangun salah satu produk lifestyle mereka yang berhasil menjadi sebuah cerita sukses dengan berbagai macam pencapaian. Memiliki visi dan passion sendiri, Dayu lalu menetapkan untuk menciptakan startupnya sendiri - Pinhome! Di Pinhome, Dayu berencana untuk memberikan sebuah revolusi positif terhadapt sektor properti di Indonesia."
48,Annisa Pratiwi,Co-founder Ladang Lima,"Co-founder Ladang Lima, pelopor makanan bebas gluten di Indonesia yang menjual berbagai produk sehat mulai dari tepung serbaguna hingga mie vegetarian"
81,Eva Alicia,Founder She Wears Gold,"Eva belum menginjak umurnya yang ke-20 tahun saat memiliki bisnis berjualan emas yang stabil. Bisnisnya, She Wears Gold, telah memiliki jangkauan customer yang luas dengan lebih dari 115 ribu pengikut pada Instagramnya. Dia pribadi, sebagai pendiri bisnis dan pelukis memiliki pengikut yang besar pula di TikTok dengan lebih dari 2 juta pengikut."
145,Faza Meonk,"Komikus, komik Si Juki",Faza Meonk merupakan komikus yang sukses menciptakaan karakter yang bernama Si Juki. Cikal bakal dari komik Si Juki berawal pada tahun 2011 dengan menceritakan keseharian unik dari seorang mahasiswa dengan tema komedi dan anarkistik. Faza sukses dalam mencetak dan menjual ribuan eksemplar komik Si Juki sampai membuat film animasi berjudul “Si Juki The Movie: Panitia Hari Akhir”.
124,Rangga Umara,"Owner, Pecel Lele Lela","Seorang pegawai swasta yang memilih untuk membuka bisnis sendiri, Rangga Umara bisa dibilang dapat menjadi contoh dari banyak orang di Indonesia. Diawali dengan modal minim di bawah 5 juta yang datang sepenuhnya dari kantong sendiri, Rangga membangun Pecel Lele Lela betul-betul dari nol. Mulai dari menyewakan tempat bekas warung yang sepi dan menaikkan arus pembeli, hingga kehilangan koki andalannya, tidak mematahkan semangat Rangga untuk berhasil. Kini, Pecel Lele Lela telah tersebar di banyak kota di Indonesia, dan bahkan terkenal dalam kancah internasional juga."
91,Gita Wirjawan,Pengusaha dan Edukator,"Gita Wirjawan adalah seorang pengusaha, dan pegiat sosial yang pernah menjabat sebagai Menteri Perdagangan pada Kabinet Indonesia Bersatu II. Ia juga mendirikan Ancora Group dan Ancora Foundation. Ia juga pernah menjadi Kepala badan Koordinasi Penanaman Modal 2009-2012. Saat ini, ia sering membagikan diskusi kebangsaan dalam format podcast berjudul Endgame."
182,Viki Rahardja,Barista & Coffeepreneur,"Seorang barista yang memberanikan diri untuk memulai bisnis sendiri di industri kopi, Viki Rahardja adalah perpaduan apik dari keterampilan membuat kopi dan juga pengetahuan bisnis yang mumpuni. Baik itu menciptakan coffee shop sendiri dalam bentuk Kopi Bu Dokter, atau menjembatani pemilik kedai kopi dengan equipment yang bagus melalui Toffin, Viki adalah seseorang yang wajib kita pelajari jika ingin memiliki wawasan yang mendalam dalam dunia kopi."
37,Elwiana Monica,Brand Director SEC Bowl,"Sebagai brand director di SEC Bowl, sebuah bisnis F&B berbasis Rice Bowl, Elwiana memiliki keahlian di bidang strategi branding; terutama bagaimana customer servicing dapat mempengaruhi branding di bisnis F&B."
43,Mutiara Kamila Athiyya,CEO & Founder THENBLANK,"Pengusaha muda dan CEO THENBLANK, brand fashion populer yang dimulainya saat di bangku SMA hingga berkembang memiliki ~700k followers saat ini dan beberapa toko fisik di kota strategis di Indonesia."
45,Rachmat Kaimuddin,"Eks-CEO Bukalapak, 2021","Selepas berkuliah di Amerika Serikat Rachmat bekerja di Boston Consulting Group sebagai Konsultan selama tiga tahun sebelum mengambil gelar master. Setelah mendapatkan gelar masternya, Rachmat memfokuskan karirnya dalam bidang keuangan dengan bergabung dengan beberapa organisasi seperti Baring Private Equity Asia, Bosowa Group, dan Bank Bukopin. Akhirnya, ia menjatuhkan keputusan untuk melanjutkan karir sebagai CEO dari Bukalapak."
36,Agung Kurniawan,Owner Nourish Indonesia,"Salah satu pendiri Nourish Indonesia, Agung mengembangkan bisnis online nya melalui pemasaran digital yang efektif dan bertanggung jawab."
123,Iman Taufiq Djayadiningrat,"Owner, Hairnerds Studio","Seorang pekerja kantoran yang memiliki hobi untuk memotong rambut pada masanya, Iman menjadikan hobi tersebut sebagai landasannya untuk memulai bisnis Hairnerds Studio. Dari yang awalnya harus mendatangi para pelanggan untuk menyebarkan nama bisnisnya, hingga kini dimana ia sudah membuka banyak cabang dari Hairnerds Studio, perjalanan Iman mengembangkan bisnis tentu penuh tantangan, risiko, serta jatuh bangun. Namun, dengan strategi dan adaptasi, Iman berhasil menghadapi semuanya dengan ciamik."
63,Cindy Erdy,Co-Founder Fayt Official,"Fayt didirikan pada 2019, dimana koleksi sepatunya dibuat secara self-manufactured oleh pengrajin dengan 20 tahun lebih pengalaman."
144,Ardi Kemara Pradipta,Digital Marketing Expert,"Ardi Kemara Pradipta merupakan seorang Head of Growth and Business di Kuncie yang memiliki pengalaman lebih dari 10 tahun menjalani peran sebagai marketing analysis, digital marketing analysis, dan online brand development. Ardi memiliki keahlian khusus dalam inbound marketing, driving traffic, dan meningkatkan audience enggagement dengan dynamic campaigns. Ardi telah membantu mengembangkan strategi marketing dan brand online lebih dari lima perusahaan besar."
